name,balls_faced,runs,30s,50s,ducks,6s,4s,3s,2s,1s,dot,balls_delivered,overs_delivered,wides,noballs,runs_given,wickets,5wh,4wh,outs,economy_rate,bowling_innings,batting_innings,not_outs,player_sr,player_avg,batting_index_espn,bat_pi_1,hard_hitter,rbw,finisher,bat_pi_5,bat_pi_7,bat_pi_8,bowling_strike_rate,bowling_avg,bowl_pi_1,bowl_pi_2,big_wicket_taker,short_performance,bowl_pi_5,bowl_pi_6,bowl_pi_7,bowl_pi_8
MM Lanning,269.00,331.00,1.00,4.00,0.00,4.00,47.00,0.00,13.00,93.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,9.00,0.00,123.05,36.78,90.51,45.25,0.79,0.55,0.00,159.83,4525.44,90.98,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
Shafali Verma,197.00,309.00,1.00,3.00,0.00,20.00,27.00,0.00,9.00,63.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,9.00,1.00,156.85,38.63,121.17,60.58,1.16,0.54,0.11,195.48,6058.44,110.49,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
TP Kanwar,44.00,46.00,0.00,0.00,1.00,0.00,5.00,1.00,2.00,19.00,17.00,176.00,29.33,2.00,0.00,207.00,11.00,0.00,0.00,4.00,7.06,8.00,6.00,2.00,104.55,11.50,24.05,12.02,0.45,0.67,0.33,116.05,1202.27,60.21,16.00,18.82,3.01,,0.00,1.38,,301.09,18.07,0.19
KE Bryce,85.00,83.00,0.00,0.00,0.00,1.00,8.00,0.00,4.00,37.00,35.00,128.00,21.33,2.00,0.00,182.00,4.00,0.00,0.00,4.00,8.53,8.00,8.00,4.00,97.65,20.75,40.52,20.26,0.45,0.59,0.50,118.40,2026.18,66.30,32.00,45.50,14.56,,0.00,0.50,,1456.00,41.67,0.09
Meghna Singh,12.00,14.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,6.00,4.00,152.00,25.33,7.00,1.00,242.00,8.00,0.00,1.00,1.00,9.55,8.00,2.00,1.00,116.67,14.00,32.67,16.33,0.33,0.91,0.50,130.67,1633.33,68.67,19.00,30.25,5.75,,0.13,0.57,,574.75,26.93,0.16
A Capsey,183.00,230.00,2.00,1.00,2.00,6.00,30.00,0.00,3.00,68.00,78.00,50.00,8.33,2.00,0.00,49.00,4.00,0.00,0.00,8.00,5.88,5.00,8.00,0.00,125.68,28.75,72.27,36.13,0.85,0.50,0.00,154.43,3613.39,86.92,12.50,12.25,1.53,,0.00,0.80,,153.13,12.31,0.24
A Gardner,108.00,120.00,2.00,0.00,1.00,3.00,14.00,0.00,1.00,44.00,51.00,163.00,27.17,2.00,0.00,208.00,9.00,0.00,0.00,8.00,7.66,8.00,8.00,0.00,111.11,15.00,33.33,16.67,0.69,0.51,0.00,126.11,1666.67,67.35,18.11,23.11,4.19,,0.00,1.13,,418.57,21.74,0.16
JI Rodrigues,153.00,235.00,2.00,2.00,2.00,8.00,26.00,0.00,8.00,68.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,9.00,3.00,153.59,39.17,120.32,60.16,0.99,0.70,0.33,192.76,6015.80,109.15,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
MS Kashyap,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,10.33,1.00,0.00,83.00,1.00,0.00,0.00,0.00,8.03,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,83.00,51.46,,0.00,0.20,,5146.00,77.16,0.05
TN Pathan,11.00,9.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,6.00,6.00,1.00,0.00,0.00,10.00,0.00,0.00,0.00,1.00,10.00,1.00,1.00,0.00,81.82,9.00,14.73,7.36,0.36,0.50,0.00,90.82,736.36,47.12,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,30.00
A Sutherland,23.00,27.00,0.00,0.00,0.00,1.00,3.00,0.00,1.00,7.00,11.00,79.00,13.17,1.00,0.00,102.00,1.00,0.00,0.00,2.00,7.75,4.00,3.00,1.00,117.39,13.50,31.70,15.85,0.78,0.47,0.33,130.89,1584.78,68.36,79.00,102.00,80.58,,0.00,0.25,,8058.00,95.69,0.04
JL Jonassen,46.00,66.00,1.00,0.00,0.00,4.00,5.00,0.00,3.00,18.00,19.00,160.00,26.67,10.00,0.00,181.00,15.00,0.00,0.00,4.00,6.79,7.00,6.00,2.00,143.48,16.50,47.35,23.67,0.96,0.59,0.33,159.98,2367.39,83.55,10.67,12.07,1.29,,0.00,2.14,,128.71,11.70,0.28
A Reddy,27.00,25.00,0.00,0.00,1.00,0.00,2.00,0.00,1.00,15.00,9.00,190.00,31.67,11.00,2.00,225.00,9.00,0.00,0.00,3.00,7.11,9.00,4.00,1.00,92.59,8.33,15.43,7.72,0.30,0.68,0.25,100.93,771.60,50.72,21.11,25.00,5.28,,0.00,1.00,,527.78,23.97,0.14
RP Yadav,21.00,27.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,11.00,6.00,152.00,25.33,1.00,1.00,187.00,11.00,0.00,1.00,3.00,7.38,9.00,4.00,1.00,128.57,9.00,23.14,11.57,0.67,0.72,0.25,137.57,1157.14,66.13,13.82,17.00,2.35,,0.11,0.88,,234.91,16.14,0.21
S Pandey,15.00,23.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,9.00,2.00,213.00,35.50,5.00,4.00,244.00,9.00,0.00,0.00,1.00,6.87,9.00,3.00,2.00,153.33,23.00,70.53,35.27,0.80,0.92,0.67,176.33,3526.67,95.42,23.67,27.11,6.42,,0.00,1.00,,641.63,26.21,0.13
BL Mooney,202.00,285.00,0.00,3.00,1.00,5.00,40.00,1.00,10.00,80.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,8.00,2.00,141.09,47.50,134.03,67.02,0.94,0.61,0.25,188.59,6701.73,107.47,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
L Wolvaardt,129.00,167.00,1.00,1.00,1.00,1.00,29.00,0.00,6.00,33.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00,0.00,129.46,27.83,72.06,36.03,0.95,0.45,0.00,157.29,3603.23,88.15,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
TR Sadhu,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,55.00,9.17,1.00,0.00,70.00,3.00,0.00,0.00,1.00,7.64,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.33,23.33,4.28,,0.00,0.75,,427.78,21.97,0.16
P Litchfield,107.00,108.00,1.00,0.00,0.00,3.00,11.00,0.00,5.00,36.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,100.93,13.50,27.25,13.63,0.58,0.49,0.00,114.43,1362.62,61.04,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
V Krishnamurthy,32.00,22.00,0.00,0.00,1.00,1.00,2.00,0.00,0.00,8.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00,68.75,5.50,7.56,3.78,0.44,0.28,0.00,74.25,378.13,36.56,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00
