name,price,balls_faced,runs,30s,50s,ducks,6s,4s,3s,2s,1s,outs,tournament_sr,tournament_avg,bat_pi_1,hard_hitter,rbw,finisher,bat_pi_5,bat_pi_7,bat_pi_8
M Lanning,110,269,331,1,4,0,4,47,0,13,93,9,123.0483271,36.77777778,45.2544403,0.788104089,0.54587156,0.111111111,159.8261049,4525.444031,90.98151335
S Verma,200,197,309,1,3,0,20,27,0,9,63,8,156.8527919,38.625,60.58439087,1.157360406,0.54,0.111111111,195.4777919,6058.439086,110.4933938
J Rodrigues,220,153,235,2,2,2,8,26,0,8,67,6,153.5947712,39.16666667,60.15795206,0.993464052,0.697478992,0.333333333,192.7614379,6015.795207,109.1469179
B Mooney,200,202,285,0,3,1,5,38,1,10,80,6,141.0891089,47.5,67.01732673,0.900990099,0.647798742,0.25,188.5891089,6701.732673,107.4715519
L Wolvaardt,30,129,167,1,1,1,1,29,0,6,33,6,129.4573643,27.83333333,36.03229973,0.945736434,0.454545455,0.166666667,157.2906977,3603.229974,88.15285368
H Matthews,40,159,180,0,1,1,4,29,0,5,30,9,113.2075472,20,22.64150944,0.880503145,0.317460317,0,133.2075472,2264.150943,73.39458759
Y Bhatia,150,168,204,2,1,0,6,30,1,3,39,8,121.4285714,25.5,30.96428571,0.928571429,0.363636364,0,146.9285714,3096.428571,82.20073662
S Mandhana,340,224,300,2,2,0,10,40,0,7,66,10,133.9285714,30,40.17857142,0.982142857,0.459770115,0,163.9285714,4017.857143,92.13724897
S Meghana,30,149,168,2,1,0,3,20,0,5,60,5,112.7516779,33.6,37.88456377,0.657718121,0.555555556,0.5,146.3516779,3788.456376,83.30615294
R Ghosh,190,181,257,2,2,0,10,31,0,6,61,6,141.9889503,42.83333333,60.81860037,1.016574586,0.521428571,0.444444444,184.8222836,6081.860037,105.2292269
D Hemalatha,30,89,115,1,1,1,3,11,1,3,39,5,129.2134831,23,29.71910111,0.696629213,0.706666667,0.285714286,152.2134831,2971.910112,83.92915184
H Deol,40,64,48,0,0,0,1,4,1,2,19,3,75,16,12,0.34375,0.440677966,0.333333333,91,1200,50.97132735
A Healy,70,149,175,2,1,0,3,28,0,3,38,8,117.4496644,21.875,25.69211409,0.872483221,0.381355932,0,139.3246644,2569.211409,77.15709193
K Navgire,30,75,110,0,1,1,7,11,1,1,19,8,146.6666667,13.75,20.16666667,1.146666667,0.421052632,0,160.4166667,2016.666667,81.15667411
P Litchfield,100,107,108,1,0,0,3,11,0,5,36,8,100.9345794,13.5,13.62616822,0.579439252,0.494623656,0.25,114.4345794,1362.616822,61.03984547
V Krishnamurthy,30,32,22,0,0,1,1,2,0,0,8,4,68.75,5.5,3.78125,0.4375,0.275862069,0.25,74.25,378.125,36.56328429
B Fulmali,10,53,64,1,0,0,1,8,0,3,20,2,120.754717,32,38.64150944,0.716981132,0.590909091,0.333333333,152.754717,3864.150943,86.6394273
P Khemnar,10,90,99,2,0,0,2,13,0,2,31,5,110,19.8,21.78,0.711111111,0.466666667,0.166666667,129.8,2178,71.64911187
P Bala,20,18,19,0,0,0,0,2,0,1,9,0,105.5555556,0,0,0.444444444,0.6875,1,105.5555556,0,0
U Chetry,10,10,8,0,0,0,0,1,0,1,2,1,80,8,6.4,0.4,0.444444444,0,88,640,44.98730602
D Vrinda,130,33,18,0,0,1,0,3,0,1,4,2,54.54545455,9,4.90909091,0.363636364,0.2,0,63.54545455,490.9090909,34.76398479
