name,price,dot,overs_delivered,wides,noballs,runs_given,wickets,5wh,4wh,bowling_innings,economy_rate,bowling_strike_rate,bowling_avg,bowl_pi_1,big_wicket_taker,short_performance,bowl_pi_6,bowl_pi_7,bowl_pi_8
T Kanwer,50,73,29,2,0,207,10,0,0,8,7.137931034,17.4,20.7,3.6018,0,1.25,360.18,19.82052123,0.170566908
J Jonassen,50,61,25,10,0,181,11,0,0,7,7.24,13.63636364,16.45454545,2.243801653,0,1.571428571,224.3801653,15.69961711,0.21683729
A Reddy,30,66,29.3,11,2,225,8,0,0,9,7.679180887,22.125,28.125,6.22265625,0,0.888888889,622.265625,26.48745416,0.134584806
R Yadav,40,59,25,1,1,187,10,0,1,9,7.48,15,18.7,2.805,0.111111111,0.75,280.5,17.69717802,0.197535211
S Ismail,120,97,28,6,1,173,8,0,0,7,6.178571429,21,21.625,4.54125,0,1.142857143,454.125,21.46702741,0.141455437
S Ishaque,10,57,25,2,0,189,9,0,0,9,7.56,16.66666667,21,3.5,0,1,350,19.82105006,0.178077889
P Vastrakar,190,60,24.3,1,2,179,5,0,0,9,7.366255144,29.4,35.8,10.5252,0,0.555555556,1052.52,34.07996206,0.10147584
R Singh,150,83,28,18,0,226,2,0,0,10,8.071428571,84,113,94.92,0,0.2,9492,104.9249218,0.035657936
G Wareham,40,56,28.1,6,0,232,7,0,0,10,8.256227758,24.14285714,33.14285714,8.001632653,0,0.7,800.1632653,30.61890285,0.123486517
R Gayakwad,40,51,27,0,0,237,6,0,0,8,8.777777778,27,39.5,10.665,0,0.75,1066.5,35.91606615,0.110541045
S Ecclestone,180,88,31.3,3,0,207,11,0,0,8,6.61341853,17.18181818,18.81818182,3.233305785,0,1.375,323.3305785,18.39503104,0.172550981
I Wong,30,15,6,1,0,50,3,0,0,2,8.333333333,12,16.66666667,2,0,1.5,200,15.35259784,0.246305419
M Singh,30,47,24,7,1,242,5,0,1,8,10.08333333,28.8,48.4,13.9392,0.125,0.142857143,1393.92,42.5091228,0.103735033
M Kashyap,10,24,10.1,1,0,83,1,0,0,5,8.217821782,61,83,50.63,0,0.2,5063,76.84949678,0.049072742
T Sadhu,25,27,9,1,0,70,3,0,0,4,7.777777778,18,23.33333333,4.2,0,0.75,420,21.86757956,0.16509434
S Molineux,30,92,38,4,0,278,12,0,0,10,7.315789474,19,23.16666667,4.401666667,0,1.2,440.1666667,22.04631776,0.156414104
M Mani,30,19,8,0,0,63,3,0,0,4,7.875,16,21,3.36,0,0.75,336,19.61979506,0.185475957
SM Shakil,10,37,12,1,0,84,4,0,0,4,7,18,21,3.78,0,1,378,20.20610462,0.164921466
E Bisht,60,8,4,2,0,41,0,0,0,2,10.25,0,0,0,0,0,0,0,30.75
K Sarvani,55,19,9,5,0,103,2,0,0,4,11.44444444,27,51.5,13.905,0,0.5,1390.5,43.8224206,0.110673352
S Thakor,10,27,10,2,0,91,3,0,0,4,9.1,20,30.33333333,6.066666667,0,0.75,606.6666667,27.3336483,0.14893617
G Sultana,30,13,5,1,0,44,0,0,0,2,8.8,0,0,0,0,0,0,0,26.4
